职位名称,城市,min_salary,max_salary,avg_salary,经验要求,学历要求,技能标签
Python工程師,淮安·清江浦区,7.0,14.0,10.5,无需经验,大专,
AI数据工程师/助理实习生,成都·金牛区,5.0,10.0,7.5,无需经验,大专,
数据维护人员,南宁·西乡塘区,7.0,13.0,10.0,无需经验,本科,
python开发,天津,10.0,12.0,11.0,无需经验,大专,
python（开发实施）,上海·浦东新区,10.0,15.0,12.5,1年及以上,本科,
Java开发工程师,长沙·岳麓区,12.0,15.0,13.5,无需经验,本科,
Python实习生(J22270),上海·浦东新区,200.0,200.0,200.0,在校生/应届生,本科,
数据分析师,郑州·中原区,60.0,8.0,34.0,无需经验,大专,
java开发工程师,厦门,10.0,12.0,11.0,无需经验,大专,
java,上海·浦东新区,8.0,15.0,11.5,无需经验,,
python开发,西安,10.0,12.0,11.0,无需经验,大专,
DBD（python方向）,天津·和平区,7.0,10.0,8.5,无需经验,本科,
java开发工程师,合肥,10.0,12.0,11.0,无需经验,大专,
Python数据工程师（爬虫方向）,青岛·高新区,6.0,10.0,8.0,1年,本科,
python开发,成都,10.0,12.0,11.0,无需经验,大专,
Java开发工程师,郑州·中原区,8.0,10.0,9.0,无需经验,大专,
java开发工程师,苏州,10.0,12.0,11.0,无需经验,大专,
Java工程师,南京·江宁区,9.0,15.0,12.0,1年及以上,本科,
助理研发工程师（数据与信息领域）,上海·闵行区,8.0,13.0,10.5,无需经验,本科,
ai数据标注,成都,8.0,15.0,11.5,无需经验,本科,
初级Python开发,成都·高新区,50.0,7.0,28.5,无需经验,本科,
Java开发实习生,上海·杨浦区,150.0,150.0,150.0,在校生/应届生,大专,
Java开发实习生,广州·越秀区,120.0,120.0,120.0,在校生/应届生,大专,
java研发工程师,广州·天河区,6.0,12.0,9.0,无需经验,大专,
数据分析工程师,深圳·南山区,60.0,9.0,34.5,无需经验,大专,
Java工程师,桂林·秀峰区,8.0,13.0,10.5,无需经验,本科,
Java开发工程师,深圳·龙华区,7.0,14.0,10.5,1年,本科,
java开发工程师,成都·高新区,8.0,15.0,11.5,无需经验,大专,
Java工程师,武汉·洪山区,11.0,18.0,14.5,1年及以上,本科,
Java开发工程师,广州·越秀区,10.0,18.0,14.0,1年及以上,本科,
前端开发标注分析师,北京·海淀区,11.0,15.0,13.0,无需经验,本科,
数据分析师(165980),上海·静安区,15.0,18.0,16.5,无需经验,本科,
Python 开发工程师,武汉·汉阳区,8.0,13.0,10.5,无需经验,大专,
初级Java工程师,南京·建邺区,6.0,10.0,8.0,1-3年,大专,
java开发工程师,南宁,10.0,15.0,12.5,无需经验,本科,
java开发工程师,深圳·南山区,8.0,15.0,11.5,无需经验,大专,
数据库管理员,重庆,50.0,7.0,28.5,无需经验,大专,
java开发工程师,上海·普陀区,12.0,18.0,15.0,1年及以上,大专,
python开发工程师,上海·徐汇区,9.0,15.0,12.0,无需经验,本科,
java开发工程师,广州·天河区,8.0,15.0,11.5,无需经验,大专,
BI大数据开发实习生（包住）,贵阳·花溪区,60.0,9.0,34.5,无需经验,大专,
助理 Python开发工程师实习生,成都·锦江区,40.0,6.0,23.0,无需经验,大专,
java开发运维实习生,深圳·南山区,40.0,8.0,24.0,无需经验,大专,
php开发工程师,上海·长宁区,15.0,25.0,20.0,1年及以上,本科,
AI Engineer（Intern),成都,145.0,145.0,145.0,在校生/应届生,本科,
java开发工程师,武汉,12.0,18.0,15.0,1年及以上,大专,
Python 开发工程师,南宁·西乡塘区,8.0,13.0,10.5,无需经验,大专,
java开发工程师,大连,10.0,12.0,11.0,无需经验,大专,
java开发工程师,西安,6.0,10.0,8.0,1年及以上,本科,
数据分析师（深圳工作）,深圳·福田区,9.0,14.0,11.5,无需经验,本科,
